0
inside 

[('20:68:9D:4C:12:1C', 'MindWave Mobile'), ('C4:85:08:F6:E9:7D', 'KANNAN-PC')]
20:68:9D:4C:12:1C MindWave Mobile
mindwave bluetooth is found
now starting the thread 
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 35]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
[128, 2, 0, 34]
